,date,ride_count
0,2013-09-01,729
1,2013-09-02,708
2,2013-09-03,1331
3,2013-09-04,1469
4,2013-09-05,1372
5,2013-09-06,1452
6,2013-09-07,1134
7,2013-09-08,1129
8,2013-09-09,1393
9,2013-09-10,1579
10,2013-09-11,1532
11,2013-09-12,1339
12,2013-09-13,1630
13,2013-09-14,1129
14,2013-09-15,1169
15,2013-09-16,1291
16,2013-09-17,1596
17,2013-09-18,1600
18,2013-09-19,1578
19,2013-09-20,1703
20,2013-09-21,1165
21,2013-09-22,1061
22,2013-09-23,1498
23,2013-09-24,1662
24,2013-09-25,1598
25,2013-09-26,1683
26,2013-09-27,1535
27,2013-09-28,1248
28,2013-09-29,1102
29,2013-09-30,1602
