,start_station_name,start_station_longitude,start_station_latitude,ride_start_date
0,1 Ave & E 15 St,-73.98165557,40.73221853,191
1,1 Ave & E 18 St,-73.98024289,40.73416059,143
2,1 Ave & E 30 St,-73.97536082,40.74144387,126
3,1 Ave & E 44 St,-73.96905301,40.75001986,54
4,10 Ave & W 28 St,-74.00176802,40.75066386,140
5,11 Ave & W 27 St,-74.005226,40.751396,88
6,11 Ave & W 41 St,-73.99884222,40.76030096,136
7,12 Ave & W 40 St,-74.00277668,40.76087502,122
8,2 Ave & E 31 St,-73.97706058,40.74290902,235
9,2 Ave & E 58 St,-73.96478473,40.76020258,121
10,3 Ave & Schermerhorn St,-73.9796772,40.68683208,10
11,5 Ave & E 29 St,-73.98683077,40.7451677,166
12,6 Ave & Broome St,-74.004704,40.724399,48
13,6 Ave & Canal St,-74.00566443,40.72243797,88
14,6 Ave & W 33 St,-73.98848395,40.74901271,180
15,7 Ave & Farragut St,-73.97332996,40.69892054,4
16,8 Ave & W 31 St,-73.99481051,40.75044999,359
17,8 Ave & W 33 St,-73.993934,40.751551,236
18,8 Ave & W 52 St,-73.9851615,40.76370739,156
19,9 Ave & W 14 St,-74.00550867,40.7405826,193
20,9 Ave & W 16 St,-74.00443172,40.74206539,187
21,9 Ave & W 18 St,-74.00366443,40.74317449,128
22,9 Ave & W 22 St,-74.00197139,40.7454973,205
23,9 Ave & W 45 St,-73.9912551,40.76019252,185
24,Adelphi St & Myrtle Ave,-73.97178913,40.69308257,52
25,Allen St & E Houston St,-73.989111,40.722055,140
26,Allen St & Hester St,-73.99190759,40.71605866,122
27,Allen St & Rivington St,-73.98997825,40.72019576,213
28,Ashland Pl & Hanson Pl,-73.97805813,40.68528172,93
29,Atlantic Ave & Fort Greene Pl,-73.97632328,40.68382604,64
30,Atlantic Ave & Furman St,-73.9999786,40.69165183,34
31,Avenue D & E 12 St,-73.97422494,40.72580614,32
32,Avenue D & E 3 St,-73.97793172,40.72082834,54
33,Avenue D & E 8 St,-73.97574813,40.72368361,28
34,Bank St & Hudson St,-74.00618026,40.73652889,151
35,Bank St & Washington St,-74.00859207,40.7361967,109
36,Barclay St & Church St,-74.01020234,40.71291224,228
37,Barrow St & Hudson St,-74.00674436,40.73172428,242
38,Bayard St & Baxter St,-73.99974372,40.71602118,141
